date,Event,Person,Place,TV
2023-03-01,0.14505677836261094,0.4773028676689084,0.3212115441936043,0.056428809774876326
2023-03-02,0.3659977871149346,0.47377109955998276,0.02495204792532678,0.13527906539975593
2023-03-03,0.32702624857863993,0.4907041346050155,0.05202157327665639,0.1302480435396882
2023-03-04,0.29421370226609955,0.49743820735856636,0.10323332573653497,0.1051147646387991
2023-03-05,0.2808539548008565,0.4947583727286341,0.13272573134735122,0.09166194112315819
2023-03-06,0.35218556645529464,0.4705554508736241,0.017821650188876114,0.15943733248220515
2023-03-07,0.27637651577185834,0.4768997475345033,0.1359434344500491,0.1107803022435892
2023-03-08,0.21983750564090668,0.4919552062170494,0.2020316325735402,0.08617565556850372
2023-03-09,0.33733733759826995,0.45284931116198845,0.06497737499944607,0.1448359762402955
2023-03-10,0.2815639779998716,0.47973762492777194,0.13444518158666297,0.1042532154856935
2023-03-11,0.1689601386588905,0.48261995100219324,0.30031735483529415,0.0481025555036221
2023-03-12,0.23475167605136293,0.48673894931658723,0.20580465237471895,0.07270472225733086
2023-03-13,0.2335816477758833,0.46602579077345013,0.23884794031806902,0.061544621132597524
2023-03-14,0.24938902284214406,0.4581303355795661,0.22694894848444158,0.06553169309384826
2023-03-15,0.16463821394921366,0.4910919900758936,0.2882625709165822,0.05600722505831058
2023-03-16,0.12442653106543125,0.4891482728353128,0.3399559199476852,0.04646927615157072
2023-03-17,0.08884242992427392,0.49257585703927126,0.38246399985648716,0.036117713179967675
2023-03-18,0.12372981154431074,0.4955858731081883,0.3383220477864193,0.04236226756108163
2023-03-19,0.14898980640735607,0.5016822290493491,0.2928570265510339,0.05647093799226092
2023-03-20,0.1956725756150231,0.49798237532438805,0.23266339783631743,0.07368165122427144
2023-03-21,0.2664586794783473,0.4776213965272181,0.15990417505294424,0.09601574894149043
2023-03-22,0.3383277069134433,0.4780233874848067,0.06748829466337133,0.11616061093837862
2023-03-23,0.29668147532448663,0.4958550684383679,0.0955493754796443,0.11191408075750113
2023-03-24,0.2687217737020283,0.515542509258903,0.11310985841247141,0.10262585862659732
2023-03-25,0.28617012242459355,0.43997127546145864,0.178023881036886,0.09583472107706179
2023-03-26,0.17579905569665083,0.49744709904468715,0.26597933483503156,0.06077451042363044
2023-03-27,0.19130705698183495,0.48765898210606207,0.25675605845681115,0.06427790245529189
2023-03-28,0.08991305901934013,0.4899298196490779,0.39121421869558703,0.028942902635995003
2023-03-29,0.11454190034410978,0.4969200502108957,0.363461471607546,0.02507657783744853
2023-03-30,0.1137190421209386,0.48840165089705956,0.3503759755753795,0.04750333140662238
2023-03-31,0.08732035196816695,0.49016850752851715,0.38733137177189986,0.03517976873141602
