date,Event,Person,Place,TV
2023-03-01,0.01331944482342571,0.419468788223556,0.5592393193522861,0.007972447600732232
2023-03-02,0.011715286930345693,0.7120509469148023,0.276233766154852,0.0
2023-03-03,0.028547727690417395,0.6325590660245669,0.3388932062850157,0.0
2023-03-04,0.048830748746970826,0.5431822463159112,0.40798700493711804,0.0
2023-03-05,0.03231746463181484,0.6462204687067564,0.3187142947137596,0.002747771947669172
2023-03-06,0.038992655494195526,0.6148816543841416,0.34612569012166294,0.0
2023-03-07,0.03519997787407385,0.6497903798975425,0.30699261580140136,0.008017026426982304
2023-03-08,0.047846597557067584,0.6111224968885776,0.3280411825641102,0.012989722990244666
2023-03-09,0.06442491701023562,0.7276895192891024,0.20398543909536507,0.0039001246052968903
2023-03-10,0.07746621834711996,0.7692994161963593,0.15123346474200924,0.002000900714511486
2023-03-11,0.09841482131475975,0.6940756372000343,0.20229361266846652,0.005215928816739501
2023-03-12,0.06055735658116663,0.6927280876309417,0.22184088500376586,0.024873670784125737
2023-03-13,0.12554256554228332,0.6067894151933246,0.2624317440723792,0.005236275192012871
2023-03-14,0.054728727509526794,0.6403360305822199,0.29390797597800394,0.011027265930249386
2023-03-15,0.06261384191300128,0.6007719972958538,0.3258421746448764,0.010771986146268437
2023-03-16,0.04628650438339255,0.6983804420294283,0.24945246284727932,0.005880590739899868
2023-03-17,0.05113736125608768,0.6090370969547233,0.32487254280369715,0.014952998985491853
2023-03-18,0.03926871895213761,0.5734581738395342,0.3804097288842874,0.006863378324040742
2023-03-19,0.04704567395192049,0.5706355737730863,0.3823187522749933,0.0
2023-03-20,0.04786654045968367,0.6758497371036463,0.27628372243667004,0.0
2023-03-21,0.09448533143538156,0.7387526520343699,0.16676201653024852,0.0
2023-03-22,0.096337833725963,0.7842785141224626,0.11938365215157441,0.0
2023-03-23,0.043587828510839775,0.7588842134745294,0.1940151732385506,0.003512784776080254
2023-03-24,0.031611745151685175,0.7419845448991598,0.2204422266239649,0.005961483325190193
2023-03-25,0.014821542569198936,0.7775550054218537,0.20552797212802087,0.0020954798809264216
2023-03-26,0.020215905142918628,0.7073844767711668,0.2636705483202266,0.008729069765687965
2023-03-27,0.028795574117077703,0.6061387119913937,0.35818207684177905,0.0068836370497494925
2023-03-28,0.023671054820356648,0.5746011471038324,0.3902249648758779,0.011502833199933093
2023-03-29,0.02797596602434775,0.5182943914301207,0.44952287108574007,0.004206771459791533
2023-03-30,0.013253742228931968,0.5538187055470818,0.427575606274389,0.0053519459495972345
2023-03-31,0.04819762497042404,0.4968180529532263,0.4398659436276861,0.015118378448663592
