date,country_code,historical,pop culture
2023-03-01,DE,0.9455567753070118,0.054443224692988186
2023-03-01,GB,0.9460196468861626,0.05398035311383742
2023-03-01,IN,0.5538459765146603,0.44615402348533967
2023-03-01,JP,0.5757310805508595,0.4242689194491404
2023-03-01,US,0.9012192385569404,0.09878076144305963
2023-03-02,DE,0.9385529856426421,0.06144701435735788
2023-03-02,GB,0.7986645459289609,0.20133545407103917
2023-03-02,IN,0.7088264775726412,0.29117352242735883
2023-03-02,JP,0.7065626321764876,0.2934373678235124
2023-03-02,US,0.8800631889708324,0.11993681102916762
2023-03-03,DE,0.5087254513686663,0.49127454863133374
2023-03-03,GB,0.7065953201685238,0.29340467983147617
2023-03-03,IN,0.5877865394514353,0.4122134605485646
2023-03-03,JP,0.6384213772226747,0.36157862277732533
2023-03-03,US,0.8576745133821783,0.14232548661782168
2023-03-04,DE,0.8156968858321116,0.1843031141678883
2023-03-04,GB,0.6187175665965884,0.38128243340341167
2023-03-04,IN,0.5502112023616977,0.4497887976383022
2023-03-04,JP,0.6685623591387794,0.33143764086122063
2023-03-04,US,0.8089339288968226,0.1910660711031774
2023-03-05,DE,0.6257243392718111,0.37427566072818885
2023-03-05,GB,0.7143477917357983,0.2856522082642016
2023-03-05,IN,0.5823633374204734,0.4176366625795266
2023-03-05,JP,0.58599380173133,0.41400619826867
2023-03-05,US,0.7183183288840413,0.28168167111595865
2023-03-06,DE,0.6938087054966817,0.30619129450331833
2023-03-06,GB,0.689342590475988,0.31065740952401205
2023-03-06,IN,0.5475326637944402,0.4524673362055598
2023-03-06,JP,0.6687582508228856,0.33124174917711435
2023-03-06,US,0.7645442574248487,0.2354557425751513
2023-03-07,DE,0.7069358253719665,0.2930641746280335
2023-03-07,GB,0.7906415279569725,0.20935847204302752
2023-03-07,IN,0.5412771731796837,0.4587228268203163
2023-03-07,JP,0.6882459886379758,0.31175401136202424
2023-03-07,US,0.7851311567576371,0.21486884324236294
2023-03-08,DE,0.8391882315789791,0.16081176842102082
2023-03-08,GB,0.8711046771528009,0.12889532284719907
2023-03-08,IN,0.6090128920742918,0.3909871079257082
2023-03-08,JP,0.6527715488995375,0.3472284511004625
2023-03-08,US,0.8025424611717253,0.19745753882827463
2023-03-09,DE,0.6879227027689131,0.31207729723108696
2023-03-09,GB,0.7350578710373157,0.2649421289626843
2023-03-09,IN,0.3913420887162968,0.6086579112837033
2023-03-09,JP,0.7174953752577349,0.2825046247422651
2023-03-09,US,0.8398871998586697,0.1601128001413304
2023-03-10,DE,0.6724903807440552,0.32750961925594485
2023-03-10,GB,0.7463358504406667,0.2536641495593332
2023-03-10,IN,0.5456418286387622,0.4543581713612378
2023-03-10,JP,0.7287055070220381,0.27129449297796193
2023-03-10,US,0.8735821741312587,0.12641782586874128
2023-03-11,DE,0.635675595893524,0.364324404106476
2023-03-11,GB,0.8611510121700491,0.13884898782995095
2023-03-11,IN,0.5972924737540857,0.4027075262459143
2023-03-11,JP,0.7285497859298394,0.27145021407016057
2023-03-11,US,0.7995226233153019,0.20047737668469812
2023-03-12,DE,0.7037255892311467,0.29627441076885325
2023-03-12,GB,0.8240931780638733,0.1759068219361267
2023-03-12,IN,0.5634616391796824,0.4365383608203176
2023-03-12,JP,0.7730267281763216,0.22697327182367846
2023-03-12,US,0.727547234393753,0.27245276560624704
2023-03-13,DE,0.5940689108416636,0.40593108915833637
2023-03-13,GB,0.7232712807613889,0.27672871923861103
2023-03-13,IN,0.5682191051224745,0.4317808948775255
2023-03-13,JP,0.7018320473500059,0.298167952649994
2023-03-13,US,0.5107982950762447,0.48920170492375525
2023-03-14,DE,0.9298490283341833,0.07015097166581673
2023-03-14,GB,0.7125117047300983,0.2874882952699017
2023-03-14,IN,0.48162488909836165,0.5183751109016383
2023-03-14,JP,0.7716935096637636,0.22830649033623643
2023-03-14,US,0.5536287860141847,0.4463712139858152
2023-03-15,DE,0.8861360661207937,0.11386393387920635
2023-03-15,GB,0.8570635822362872,0.14293641776371274
2023-03-15,IN,0.5376553739148849,0.46234462608511506
2023-03-15,JP,0.6278526118680569,0.3721473881319432
2023-03-15,US,0.8414455320624785,0.15855446793752143
2023-03-16,DE,0.9655414793946439,0.03445852060535611
2023-03-16,GB,0.935160048181239,0.06483995181876097
2023-03-16,IN,0.5570540179326905,0.44294598206730956
2023-03-16,JP,0.6328037855717533,0.3671962144282467
2023-03-16,US,0.8452155653052438,0.1547844346947562
2023-03-17,DE,0.8512758167295924,0.14872418327040757
2023-03-17,GB,0.9455735706397964,0.054426429360203574
2023-03-17,IN,0.5732176037764929,0.42678239622350717
2023-03-17,JP,0.5600416019447656,0.4399583980552344
2023-03-17,US,0.799574411121473,0.200425588878527
2023-03-18,DE,0.7560148706947678,0.2439851293052322
2023-03-18,GB,0.8752954239008228,0.12470457609917715
2023-03-18,IN,0.545155803700807,0.4548441962991931
2023-03-18,JP,0.5817296389766011,0.4182703610233989
2023-03-18,US,0.7326571189822922,0.26734288101770776
2023-03-19,DE,0.9437345314495362,0.05626546855046373
2023-03-19,GB,0.8854941707484921,0.11450582925150792
2023-03-19,IN,0.688046862579299,0.31195313742070097
2023-03-19,JP,0.6478042254629496,0.3521957745370505
2023-03-19,US,0.784957043759931,0.215042956240069
2023-03-20,DE,0.9165799093315846,0.08342009066841537
2023-03-20,GB,0.8342461619360981,0.16575383806390184
2023-03-20,IN,0.6208695099579817,0.3791304900420183
2023-03-20,JP,0.4777432962451148,0.5222567037548852
2023-03-20,US,0.74402666961901,0.25597333038099
