date,country_code,current,historical
2023-03-01,DE,0.6696256428778545,0.3303743571221455
2023-03-01,GB,0.5735837406201924,0.42641625937980765
2023-03-01,IN,0.6022470769254802,0.39775292307451987
2023-03-01,JP,0.8160176880897146,0.1839823119102853
2023-03-01,US,0.7230612584579775,0.27693874154202247
2023-03-02,DE,0.7335276553391156,0.2664723446608844
2023-03-02,GB,0.8586268479015775,0.14137315209842247
2023-03-02,IN,0.7608143640598002,0.23918563594019984
2023-03-02,JP,0.5917547116526708,0.40824528834732915
2023-03-02,US,0.6890499066375657,0.3109500933624343
2023-03-03,DE,0.8350932415862965,0.1649067584137035
2023-03-03,GB,0.6446663722726089,0.3553336277273911
2023-03-03,IN,0.5909985069808732,0.4090014930191268
2023-03-03,JP,0.7785009106702374,0.22149908932976262
2023-03-03,US,0.5573378992400105,0.44266210075998946
2023-03-04,DE,0.6545870267107688,0.34541297328923115
2023-03-04,GB,0.484520305630381,0.5154796943696189
2023-03-04,IN,0.45423804868667766,0.5457619513133223
2023-03-04,JP,0.6825654352539161,0.31743456474608395
2023-03-04,US,0.48650913296416143,0.5134908670358386
2023-03-05,DE,0.622765481201789,0.37723451879821107
2023-03-05,GB,0.7713431658622021,0.22865683413779792
2023-03-05,IN,0.5583074023227084,0.44169259767729163
2023-03-05,JP,0.649938122368285,0.3500618776317151
2023-03-05,US,0.8416786237954816,0.15832137620451833
2023-03-06,DE,0.5252337556494036,0.47476624435059644
2023-03-06,GB,0.5192135791433524,0.4807864208566476
2023-03-06,IN,0.609739357903956,0.39026064209604405
2023-03-06,JP,0.8067986055659067,0.1932013944340934
2023-03-06,US,0.6634720091591025,0.33652799084089746
2023-03-07,DE,0.5208570899617121,0.47914291003828785
2023-03-07,GB,0.7121773968866862,0.2878226031133138
2023-03-07,IN,0.5345093597271434,0.46549064027285664
2023-03-07,JP,0.8145227103499628,0.18547728965003724
2023-03-07,US,0.71370669317699,0.28629330682300996
2023-03-08,DE,0.5032687738724064,0.4967312261275936
2023-03-08,GB,0.5671796203709716,0.4328203796290284
2023-03-08,IN,0.5606426966445845,0.4393573033554155
2023-03-08,JP,0.8536426355466077,0.14635736445339234
2023-03-08,US,0.738567814687307,0.26143218531269297
2023-03-09,DE,0.5371609080785216,0.46283909192147843
2023-03-09,GB,0.493990819307275,0.506009180692725
2023-03-09,IN,0.9222136281373026,0.0777863718626974
2023-03-09,JP,0.9052689923828456,0.09473100761715432
2023-03-09,US,0.7025273893826216,0.2974726106173784
2023-03-10,DE,0.6000970531888544,0.39990294681114563
2023-03-10,GB,0.414360220739982,0.585639779260018
2023-03-10,IN,0.8103640094832294,0.18963599051677063
2023-03-10,JP,0.9406705092274338,0.05932949077256623
2023-03-10,US,0.4928801793084339,0.5071198206915661
2023-03-11,DE,0.6124935009328073,0.3875064990671927
2023-03-11,GB,0.5032893368726223,0.4967106631273777
2023-03-11,IN,0.8040885052292077,0.19591149477079234
2023-03-11,JP,0.9501194842047285,0.04988051579527153
2023-03-11,US,0.67110586516766,0.3288941348323399
2023-03-12,DE,0.712265419153627,0.28773458084637304
2023-03-12,GB,0.5428678475532336,0.4571321524467664
2023-03-12,IN,0.8676921430739906,0.13230785692600944
2023-03-12,JP,0.8015579751118791,0.19844202488812093
2023-03-12,US,0.7660320411489602,0.23396795885103977
2023-03-13,DE,0.8043920658585013,0.19560793414149863
2023-03-13,GB,0.7609891012013148,0.23901089879868523
2023-03-13,IN,0.9135556100580956,0.08644438994190437
2023-03-13,JP,0.7018073945549458,0.29819260544505427
2023-03-13,US,0.7873481182475744,0.21265188175242553
2023-03-14,DE,0.6887566828797684,0.31124331712023157
2023-03-14,GB,0.8052425941623192,0.19475740583768075
2023-03-14,IN,0.8687979883444169,0.13120201165558307
2023-03-14,JP,0.6849080161504961,0.31509198384950393
2023-03-14,US,0.7312616289735056,0.2687383710264944
2023-03-15,DE,0.6939180147203526,0.30608198527964736
2023-03-15,GB,0.9328070925846716,0.06719290741532838
2023-03-15,IN,0.7588754160722777,0.2411245839277223
2023-03-15,JP,0.7924079866904498,0.20759201330955027
2023-03-15,US,0.7172310934099262,0.28276890659007375
2023-03-16,DE,0.4210930017538113,0.5789069982461886
2023-03-16,GB,0.831256099707214,0.16874390029278594
2023-03-16,IN,0.7389611231381497,0.2610388768618504
2023-03-16,JP,0.8361722735057197,0.16382772649428037
2023-03-16,US,0.6057106110413044,0.3942893889586956
2023-03-17,DE,0.6754834743773801,0.32451652562261996
2023-03-17,GB,0.7652455163845888,0.2347544836154112
2023-03-17,IN,0.7535150193161809,0.24648498068381908
2023-03-17,JP,0.7846687693911084,0.21533123060889153
2023-03-17,US,0.7388977824408834,0.26110221755911656
2023-03-18,DE,0.6654874590430934,0.33451254095690663
2023-03-18,GB,0.7822572903517909,0.2177427096482091
2023-03-18,IN,0.6375289154229963,0.3624710845770037
2023-03-18,JP,0.8756874620300558,0.12431253796994429
2023-03-18,US,0.7127765039252653,0.28722349607473474
2023-03-19,DE,0.45202265623497634,0.5479773437650236
2023-03-19,GB,0.8499499627294405,0.15005003727055954
2023-03-19,IN,0.23437264393186114,0.7656273560681388
2023-03-19,JP,0.7076403967736838,0.29235960322631616
2023-03-19,US,0.579939790850081,0.420060209149919
2023-03-20,DE,0.8242036617159401,0.17579633828405994
2023-03-20,GB,0.9013460059889932,0.0986539940110068
2023-03-20,IN,0.4630361679705094,0.5369638320294906
2023-03-20,JP,0.810878441009086,0.18912155899091398
2023-03-20,US,0.6994496897914749,0.30055031020852513
