country,TP,FP,FN,TN,precision,recall,accuracy
US,2748,585,34,1633,0.8244824482448245,0.9877785765636233,0.8762
JP,2551,1330,179,940,0.6573048183457871,0.9344322344322344,0.6982
GB,741,1647,813,1799,0.3103015075376884,0.4768339768339768,0.508
IN,1627,761,80,2532,0.681323283082077,0.9531341534856473,0.8318
DE,2132,965,36,1867,0.6884081369066839,0.9833948339483395,0.7998
