date,Event,Person,Place,TV
2023-03-01,0.17841057099833013,0.5625400771104011,0.25447330025285536,0.004576051638413437
2023-03-02,0.1649419159747062,0.5609401056877565,0.27171256852097525,0.0024054098165619733
2023-03-03,0.1369786283966632,0.5820603698409427,0.2791669644385781,0.0017940373238160693
2023-03-04,0.14240482114055703,0.5838028511086055,0.2708352433514268,0.002957084399410675
2023-03-05,0.1565110510631181,0.585722259438867,0.2546219894849002,0.003144700013114642
2023-03-06,0.16856883714201953,0.5742583086232131,0.2519051461403535,0.0052677080944138355
2023-03-07,0.14831256767164666,0.5767400188246186,0.2723412671133223,0.0026061463904124647
2023-03-08,0.13417485448480124,0.5733785067152576,0.2906995196087975,0.001747119191143732
2023-03-09,0.1558438751918924,0.5654976968264456,0.27595403621478565,0.0027043917668763363
2023-03-10,0.19013682992510264,0.5571601297403529,0.24978382871043764,0.002919211624106865
2023-03-11,0.1419842820768375,0.5655080445631784,0.28736596092812283,0.005141712431861242
2023-03-12,0.15266008006307302,0.5625337345810797,0.27937085434675313,0.005435331009094221
2023-03-13,0.22752345091272314,0.5625909653935366,0.2053018541231832,0.004583729570557055
2023-03-14,0.15428337197565262,0.5419768099539918,0.2613193367669398,0.042420481303415886
2023-03-15,0.12921751215481825,0.5683379661536597,0.3003884709204856,0.002056050771036472
2023-03-16,0.13832030204384896,0.5612844126914416,0.2980408686344699,0.002354416630239599
2023-03-17,0.14848442714665325,0.5576794956753155,0.28967722272593066,0.004158854452100555
2023-03-18,0.16883802738118744,0.5498967238578322,0.27130670955287595,0.009958539208104456
2023-03-19,0.1913479853146059,0.5593367395956422,0.24365696807483117,0.00565830701492073
2023-03-20,0.13117159319208244,0.5723384610334113,0.2903268675747614,0.006163078199744826
2023-03-21,0.14862996687758218,0.5655199050120837,0.2809619603066135,0.004888167803720566
2023-03-22,0.12069569506888228,0.5780599097056444,0.29587782100435045,0.00536657422112295
2023-03-23,0.11408151999236989,0.5742906785779723,0.30622117152129663,0.005406629908361119
2023-03-24,0.11550800522876845,0.5838174613851348,0.2955291214929288,0.005145411893167895
2023-03-25,0.11584469507002415,0.5480813012427465,0.3287309258384279,0.00734307784880156
2023-03-26,0.13135953269301115,0.5806627791893189,0.2793240492922985,0.008653638825371452
2023-03-27,0.14404423752588383,0.5745196391062515,0.27483659965281776,0.006599523715046856
2023-03-28,0.13009549349604638,0.5747279922744564,0.28997862506965855,0.00519788915983871
2023-03-29,0.11398689791305808,0.5751108102990211,0.30575192723975547,0.005150364548165312
2023-03-30,0.14354611222524005,0.5703236648871225,0.2823805871904935,0.00374963569714392
2023-03-31,0.1433892821421565,0.5769520838492438,0.27664217097244154,0.0030164630361582175
